Price,Close,High,Low,Open,Volume
Ticker,META,META,META,META,META
Date,,,,,
2023-04-13,218.43182373046875,219.224847500562,213.81238615247736,213.85203129059846,23310400
2023-04-14,219.56190490722656,220.17650288269624,215.656200722299,215.98332984258553,21591200
2023-04-17,216.95480346679688,219.0563438246389,215.23986751678353,217.87670046778837,15481900
2023-04-18,215.99325561523438,218.52106075783294,214.32788736305116,217.99567564546845,12281000
2023-04-19,213.82229614257812,215.4381115885571,211.07640517251718,211.61171286211123,15898100
2023-04-20,211.21522521972656,214.86318342643628,210.91783370536288,211.6216446591975,16475400
2023-04-21,211.0367431640625,211.55222068017963,207.75555989265803,208.38008043860845,17717200
2023-04-24,210.9376220703125,212.05779007834377,208.8757421166724,211.81987387171196,15750900
2023-04-25,205.74327087402344,209.42096668543763,205.32692880816302,208.98480961117474,19198200
2023-04-26,207.57716369628906,212.2461697285354,207.06170119505998,210.65018419851057,41992700
2023-04-27,236.48330688476562,239.58606473531918,234.7088956844878,237.80173090551267,71196500
2023-04-28,238.22799682617188,238.3370247438833,233.69777188796778,236.92938780573903,39554000
2023-05-01,241.0630645751953,241.87593357965255,234.40157736953907,236.54276266287647,29143900
2023-05-02,237.15740966796875,242.78795773263934,236.90958593006684,241.06309907149617,24350100
2023-05-03,234.96664428710938,239.6455577308559,230.7239030480112,237.3854064212788,34463900
2023-05-04,231.48716735839844,236.1264197905397,230.90229192706437,234.00504951049967,17889400
2023-05-05,230.75360107421875,232.6370551335535,227.84911458653457,230.2183085405626,27000500
2023-05-08,231.23936462402344,233.56889855403585,228.26547993603842,229.40546301604877,16400500
2023-05-09,231.33847045898438,233.82663017174102,229.06841194563827,229.44510882268386,16865600
2023-05-10,231.051025390625,234.68907598893915,228.71156873771375,234.1141231112111,19119000
2023-05-11,233.7374267578125,236.13637381843506,230.27781710507037,231.0212883085138,20449000
2023-05-12,231.774658203125,234.89724621443213,229.43520163353872,234.67916012630428,16161400
2023-05-15,236.78070068359375,238.16850749476043,233.2814308927608,234.8575861552915,20653200
2023-05-16,236.74105834960938,237.55391231265511,233.46978211198044,233.73742084776137,18163800
2023-05-17,240.3791046142578,241.71734364737938,236.06696576918233,236.37426476658152,21193100
2023-05-18,244.70115661621094,244.93905771597244,239.09042374878152,239.19946679482555,22943300
2023-05-19,243.5016632080078,246.52511548669978,241.29107995629087,245.315734575223,21733600
2023-05-22,246.15835571289062,251.36265391430516,242.98619994649877,243.2736839367334,27738500
2023-05-23,244.5921173095703,249.41971879486397,244.50288926983555,244.66150008940815,17748100
2023-05-24,247.0406036376953,247.41728540634753,242.81767776935007,243.14480689478242,17724300
2023-05-25,250.49032592773438,253.39481290082904,247.00096343235742,251.19413687897952,22371400
2023-05-26,259.7589111328125,260.0265498517954,250.51012836120594,250.7281993124649,25727200
2023-05-30,260.2347412109375,266.31138413742116,259.015467775104,262.94098733413506,23816500
2023-05-31,262.41558837890625,262.6931497421419,256.2001802172078,257.7366752187053,25473700
2023-06-01,270.23687744140625,271.6147918186333,263.5754050196668,263.5852973969688,25609500
2023-06-02,270.23687744140625,272.9530459308971,268.7598577796487,270.2864603355899,19416900
2023-06-05,269.0274963378906,273.17110112649306,267.2134100069179,267.9469584402539,20742900
2023-06-06,268.75982666015625,274.16239512591744,267.3422824340207,267.7883771704285,19419000
2023-06-07,261.30535888671875,271.8626442161029,260.5123047633767,269.3051165166383,26163600
