Price,Close,High,Low,Open,Volume
Ticker,GOOGL,GOOGL,GOOGL,GOOGL,GOOGL
Date,,,,,
2022-01-03,143.7171173095703,144.56905994450653,142.44985112763527,143.78005107792654,28646000
2022-01-04,143.13034057617188,145.19750561007717,142.45334497286012,144.11807263912576,28400000
2022-01-05,136.56405639648438,143.22945569243274,136.47783061916755,143.15065613098375,54618000
2022-01-06,136.5368194580078,138.71005417116862,135.35827430935993,135.79440952029407,37348000
2022-01-07,135.81271362304688,137.23163499485634,134.57320114440378,136.93128920152486,29760000
2022-01-10,137.45069885253906,137.59938954533916,131.9940937569273,133.89077354018556,44408000
2022-01-11,138.50782775878906,138.98361984255865,135.49108996730467,136.7940355023196,28730000
2022-01-12,140.18743896484375,141.35459515725228,139.45791529880384,139.90940202922133,26108000
2022-01-13,137.36892700195312,141.59445882785775,137.1924825382084,140.29596006685344,31436000
2022-01-14,138.25457763671875,139.50499514618633,135.79439774836212,135.87418041718718,29662000
2022-01-18,134.8026885986328,135.92622520287958,134.24811208025204,134.97813484766374,34872000
2022-01-19,133.92892456054688,136.74693894623502,133.82881433443535,135.3235557494751,28648000
2022-01-20,132.13580322265625,136.41635808899423,131.795815685325,135.05244527519218,29908000
2022-01-21,129.20578002929688,133.68009671034852,128.94310984550887,131.42807837929055,55652000
2022-01-24,129.65432739257812,130.04982252537027,123.40573418952586,124.87074048240562,76622000
2022-01-25,125.8193359375,128.26168373746512,125.38866078931534,127.60847923176541,46960000
2022-01-26,128.0971221923828,131.8310108586025,126.0244974232128,129.96654697196033,49130000
2022-01-27,127.87113189697266,131.4865641925573,127.7992594466559,130.14992113768704,31950000
2022-01-28,132.17893981933594,132.18439982716436,127.3557110756648,128.51938847818633,34362000
2022-01-31,134.11428833007812,134.28230836211273,131.0474879109952,132.9828264004286,39986000
2022-02-01,136.43421936035156,136.58191182952572,133.18751085954932,136.38515490873857,68644000
2022-02-02,146.69920349121094,150.21452630254774,144.24348530384265,149.92063870301118,123200000
2022-02-03,141.83233642578125,148.35946558582248,141.41156796467584,144.42485698358425,71518000
2022-02-04,142.0335235595703,143.60161927567793,139.27994094822716,142.1836964252239,57998000
2022-02-07,137.9775390625,142.98215841687698,137.6791745678362,142.98215841687698,54974000
2022-02-08,138.17376708984375,138.76948259746732,135.8097352776193,137.8045435650232,54284000
2022-02-09,140.34751892089844,141.2718333033263,138.95486891672266,139.72454860201665,40144000
2022-02-10,137.40164184570312,140.24096723376755,136.74447462445005,138.4756300439531,39330000
