Price,Close,High,Low,Open,Volume
Ticker,^GSPC,^GSPC,^GSPC,^GSPC,^GSPC
Date,,,,,
1995-01-03,459.1099853515625,459.2699890136719,457.20001220703125,459.2099914550781,262450000
1995-01-04,460.7099914550781,460.7200012207031,457.55999755859375,459.1300048828125,319510000
1995-01-05,460.3399963378906,461.29998779296875,459.75,460.7300109863281,309050000
1995-01-06,460.67999267578125,462.489990234375,459.4700012207031,460.3800048828125,308070000
1995-01-09,460.8299865722656,461.7699890136719,459.739990234375,460.6700134277344,278790000
1995-01-10,461.67999267578125,464.5899963378906,460.8999938964844,460.8999938964844,352450000
1995-01-11,461.6600036621094,463.6099853515625,458.6499938964844,461.67999267578125,346310000
1995-01-12,461.6400146484375,461.92999267578125,460.6300048828125,461.6400146484375,313040000
1995-01-13,465.9700012207031,466.42999267578125,461.6400146484375,461.6400146484375,336740000
1995-01-16,469.3800048828125,470.3900146484375,465.9700012207031,465.9700012207031,315810000
1995-01-17,470.04998779296875,470.1499938964844,468.19000244140625,469.3800048828125,331520000
1995-01-18,469.7099914550781,470.42999267578125,468.0299987792969,470.04998779296875,344660000
1995-01-19,466.95001220703125,469.7200012207031,466.3999938964844,469.7200012207031,297220000
1995-01-20,464.7799987792969,466.989990234375,463.989990234375,466.95001220703125,378190000
1995-01-23,465.82000732421875,466.2300109863281,461.1400146484375,464.7799987792969,325830000
1995-01-24,465.8599853515625,466.8800048828125,465.4700012207031,465.80999755859375,315430000
1995-01-25,467.44000244140625,469.510009765625,464.3999938964844,465.8599853515625,342610000
1995-01-26,468.32000732421875,468.6199951171875,466.8999938964844,467.44000244140625,304730000
1995-01-27,470.3900146484375,471.3599853515625,468.32000732421875,468.32000732421875,339510000
1995-01-30,468.510009765625,470.5199890136719,467.489990234375,470.3900146484375,318550000
1995-01-31,470.4200134277344,471.0299987792969,468.17999267578125,468.510009765625,411590000
1995-02-01,470.3999938964844,472.75,469.2900085449219,470.4200134277344,395310000
1995-02-02,472.7900085449219,472.7900085449219,469.95001220703125,470.3999938964844,322110000
1995-02-03,478.6499938964844,479.9100036621094,472.7799987792969,472.7799987792969,441000000
1995-02-06,481.1400146484375,481.95001220703125,478.3599853515625,478.6400146484375,325660000
1995-02-07,480.80999755859375,481.32000732421875,479.69000244140625,481.1400146484375,314660000
1995-02-08,481.19000244140625,482.6000061035156,480.3999938964844,480.80999755859375,318430000
1995-02-09,480.19000244140625,482.0,479.9100036621094,481.19000244140625,325570000
1995-02-10,481.4599914550781,481.9599914550781,479.5299987792969,480.19000244140625,295600000
1995-02-13,481.6499938964844,482.8599853515625,481.07000732421875,481.4599914550781,256270000
1995-02-14,482.54998779296875,482.94000244140625,480.8900146484375,481.6499938964844,300720000
1995-02-15,484.5400085449219,485.5400085449219,481.7699890136719,482.54998779296875,378040000
