Price,Close,High,Low,Open,Volume
Ticker,ORCL,ORCL,ORCL,ORCL,ORCL
Date,,,,,
1995-01-03,1.6811121702194214,1.739926552087413,1.6811121702194214,1.7301238711548077,36302175
1995-01-04,1.695814847946167,1.7056175260358684,1.6615070837078505,1.6860129270685307,46052550
1995-01-05,1.6615073680877686,1.7056178179656332,1.6566061228555398,1.7007163834303558,37764225
1995-01-06,1.6811121702194214,1.7105192665018816,1.6370009578865174,1.6615075655664953,41864850
1995-01-09,1.7301231622695923,1.7301231622695923,1.6909141583319582,1.6958146449265592,34639650
1995-01-10,1.7350244522094727,1.759530293287958,1.7350244522094729,1.7399258854493678,42089625
1995-01-11,1.6835618019104004,1.7595304261063005,1.6664075414878707,1.7497286947046171,46763325
1995-01-12,1.6713091135025024,1.6909144709595603,1.6566059472733377,1.6860130369437816,41295825
1995-01-13,1.6517045497894287,1.7031673364570001,1.6468033049682742,1.6909145083586634,55039500
1995-01-16,1.6419018507003784,1.6517045295254555,1.5683844097547264,1.607593515979276,54575775
1995-01-17,1.7007161378860474,1.7007161378860474,1.64190177149989,1.64190177149989,39588750
1995-01-18,1.695814847946167,1.7154202041255697,1.6909143607648895,1.695814847946167,28842075
1995-01-19,1.7546299695968628,1.7595304567771002,1.6811116823183618,1.6909143604059826,55819125
1995-01-20,1.7227717638015747,1.7595304337012017,1.690914338229971,1.7546299465852333,48519000
1995-01-23,1.6860133409500122,1.7105191903263726,1.6664079799578981,1.7105191903263726,37551600
1995-01-24,1.6811121702194214,1.6958153397545093,1.6566063197517282,1.6860134160341884,28961550
1995-01-25,1.7154196500778198,1.7448267283339185,1.6566053042626674,1.6713084647848067,67278600
1995-01-26,1.6811121702194214,1.7154207016197198,1.6811121702194214,1.7105192665018816,27544050
1995-01-27,1.6762104034423828,1.6958150042162934,1.656605991971506,1.6860130824354054,35708850
1995-01-30,1.6370006799697876,1.681111884813848,1.6321001921992702,1.6762104505281354,44440650
1995-01-31,1.6713091135025024,1.6909144709595603,1.6370005898162796,1.6468032685448086,37910025
1995-02-01,1.6615073680877686,1.7007163834303558,1.6517046883202622,1.6909146501780927,24385050
1995-02-02,1.6811121702194214,1.6860134160341884,1.65170488463389,1.6615075655664953,24166350
1995-02-03,1.7252227067947388,1.7448271144656853,1.6860127556348639,1.6958146755158416,53943975
1995-02-06,1.7423762083053589,1.749728737506061,1.715420215821755,1.7252228939782936,24820425
1995-02-07,1.7399262189865112,1.7497288980424386,1.71542037321035,1.7448274638629575,18530775
1995-02-08,1.7203212976455688,1.7497285721235698,1.710518620415569,1.7448271388570702,26294625
1995-02-09,1.7056177854537964,1.7595307247684506,1.7056177854537964,1.735024877680525,48529125
1995-02-10,1.7350244522094727,1.7497285626261594,1.705617367194091,1.7154200443708827,36316350
1995-02-13,1.7448267936706543,1.7791353053247583,1.7252223896040744,1.7399255506767877,33374025
1995-02-14,1.7301231622695923,1.7693329234192003,1.7154199987588472,1.7595302465030564,28030050
1995-02-15,1.7938385009765625,1.7938385009765625,1.7350241518253096,1.7350241518253096,44547975
1995-02-16,1.8085426092147827,1.8134440421201306,1.7742342826042208,1.7938386891047113,45473400
1995-02-17,1.7889373302459717,1.8085424926952975,1.784036654868304,1.8036412494087095,20790675
1995-02-21,1.8085426092147827,1.8232457721129116,1.7938386891047113,1.8036413656124208,27060075
1995-02-22,1.8477511405944824,1.8526525722506342,1.7889369895676608,1.7987394742740892,40435200
1995-02-23,1.8453013896942139,1.8894125803637225,1.8232456997079705,1.867356890377479,42391350
1995-02-24,1.7938385009765625,1.8453012694497455,1.7864869202984925,1.8453012694497455,34298100
1995-02-27,1.786487340927124,1.852653286335226,1.786487340927124,1.8011912629571676,31062150
1995-02-28,1.8453013896942139,1.8526529708513313,1.78648703671047,1.8085425373937354,23047200
1995-03-01,1.8379496335983276,1.8673567126397013,1.8305980531409445,1.8600051321823179,24347250
1995-03-02,1.8600057363510132,1.8600057363510132,1.808542952706503,1.8526533962935958,14650200
1995-03-03,1.9335236549377441,1.9408752392522568,1.8379505979093058,1.8600061080650818,44343450
1995-03-06,1.9114679098129272,1.9261718338466964,1.874709046243685,1.9188202504358842,27614250
1995-03-07,1.8967641592025757,1.9261712410070166,1.8820600503914215,1.904115740350708,30264300
1995-03-08,1.9114679098129272,1.9114679098129272,1.8894131595804906,1.8967647429913028,17986050
1995-03-09,1.9261714220046997,1.940874585682585,1.896764337436946,1.918819840165757,45534150
1995-03-10,1.9408750534057617,1.9408750534057615,1.9114679617513186,1.9188203025740536,26088750
1995-03-13,1.9482274055480957,1.9776344945160067,1.9408748760940218,1.9482274055480957,30138750
1995-03-14,1.9555795192718506,1.9923382011557833,1.9555795192718506,1.977635031287131,24873750
1995-03-15,1.9261714220046997,1.9702818595533345,1.918819840165757,1.9702818595533345,24436350
1995-03-16,1.9555795192718506,1.9555795192718506,1.9261722330191686,1.9261722330191686,19735650
1995-03-17,1.9629299640655518,1.9849854632702015,1.9408742755579367,1.9629299640655518,29170800
1995-03-20,1.9776355028152466,2.036449900040666,1.948228398854097,1.9702831589155974,20464650
1995-03-21,2.0143933296203613,2.0364490267392004,1.9610925979417781,2.0070417460858136,46642500
1995-03-22,1.9408750534057617,1.9629307507526765,1.9188203025740536,1.9482275835315377,87223500
1995-03-23,1.8747090101242065,1.948227493058376,1.8526535031045623,1.948227493058376,53838000
1995-03-24,1.8894132375717163,1.9114679887145292,1.8600059561994122,1.8747091236279543,59328450
1995-03-27,1.9041163921356201,1.9114679758002222,1.8747091109619984,1.8894132248064162,55688850
1995-03-28,1.9261714220046997,1.9261714220046997,1.8894127555980034,1.9041159192758887,43761600
1995-03-29,1.8820602893829346,1.9482271783599514,1.852653203844265,1.9261714855999452,42786900
1995-03-30,1.8453013896942139,1.9041157426779576,1.8158941185508528,1.8967641615208402,42184800
1995-03-31,1.8379496335983276,1.8747082930970844,1.8011907847966109,1.808542365253994,21331350
1995-04-03,1.8894132375717163,1.9041164050002581,1.8158947501863902,1.8305988641301523,34187400
1995-04-04,1.852652907371521,1.9555784474981044,1.8232456372357788,1.852652907371521,62237700
1995-04-05,1.8379496335983276,1.8526527945130942,1.808542365253994,1.8526527945130942,42781500
1995-04-06,1.7276729345321655,1.8379500753514144,1.7203213523078222,1.8232459643876997,51304050
1995-04-07,1.8011908531188965,1.8305981225786987,1.749728273541468,1.7644314350139507,74368800
1995-04-10,1.8011908531188965,1.8085424338551377,1.7717830157501921,1.7938385151707856,33039900
1995-04-11,1.8305984735488892,1.8305984735488892,1.8085427805967162,1.8232459448881528,27496800
1995-04-12,1.8820602893829346,1.88941281797961,1.8379500396809338,1.852653203844265,20217600
1995-04-13,1.8820602893829346,1.9188199035182796,1.8379500396809338,1.8967644000612753,23033700
1995-04-17,1.8342739343643188,1.8967645644592381,1.8305986162624408,1.8894129817403902,35958600
1995-04-18,1.8158947229385376,1.8600059282896624,1.8011915557306195,1.8453020038695798,38098350
1995-04-19,1.7791353464126587,1.8158940071552065,1.742375739155278,1.8085424264490702,52084350
1995-04-20,1.757080078125,1.8085426642586238,1.7423759682644162,1.7938387437010317,34001100
1995-04-21,1.7644317150115967,1.7717832969144605,1.7497285512058691,1.7644317150115967,62858700
1995-04-24,1.790163516998291,1.801191174021808,1.7497285852757278,1.7717833314137585,55102950
1995-04-25,1.7497285604476929,1.8158943123469247,1.742376031991007,1.7938388093098496,56012850
1995-04-26,1.7056177854537964,1.764432159210299,1.6982662017001593,1.7497289917030245,53532900
1995-04-27,1.8379496335983276,1.8747082930970844,1.6468026733145993,1.7056170207003065,150140250
1995-04-28,1.7938385009765625,1.867356768695819,1.764431421052419,1.8453012694497455,66035250
1995-05-01,1.7681078910827637,1.8085428243315498,1.757080233643006,1.801191242008053,49532850
1995-05-02,1.7534046173095703,1.7717840531691607,1.7497292980468868,1.7717840531691607,43858800
1995-05-03,1.852652907371521,1.8820599882042914,1.7570798946650168,1.7644314755702377,91555650
1995-05-04,1.8085426092147827,1.9188197384044907,1.808542609214783,1.8747085459832333,68866200
1995-05-05,1.8011908531188965,1.8526528647874227,1.7938385151707856,1.8379497033149401,30327750
1995-05-08,1.8158947229385376,1.8416257388099972,1.8011915557306195,1.8158947229385376,24262200
1995-05-09,1.823245644569397,1.8526529148234236,1.7938385636183427,1.8379497529538413,35996400
1995-05-10,1.8305984735488892,1.852653219986044,1.801191198450998,1.8305984735488892,22288500
